date,open,high,low,close,volume
11/30/01,114.4,114.91,114.02,114.05,13680300
12/3/01,113.65,114.08,113.01,113.37,15220400
12/4/01,113.92,115.3,113.35,115.29,17239900
12/5/01,115.61,118,115.56,117.4,25204000
12/6/01,117.34,117.94,116.93,117.34,17972900
12/7/01,116.9,117.09,115.7,116.56,18857800
12/10/01,115.85,116.39,114.35,114.38,13862700
12/11/01,114.9,115.72,113.9,114.15,20833300
12/12/01,114.55,114.78,113.11,114.28,16171500
12/13/01,113.45,113.7,112.04,112.06,19026700
12/14/01,112.33,113.49,112,113.13,16721900
12/17/01,112.99,114.36,112.9,114.3,13925900
12/18/01,114.63,115.15,114.34,114.98,13663700
12/19/01,114.09,115.92,114,115.79,20143400
12/20/01,115.5,115.8,114.55,114.65,14867900
12/21/01,115.03,115.07,114.2,114.95,14037700
12/24/01,114.83,115.04,114.61,114.73,5728800
12/26/01,114.65,116.21,114.65,115.36,10304800
12/27/01,115.3,116.08,115.25,116.06,9407300
12/28/01,116.29,116.75,115.92,116,10593800
12/31/01,116.15,116.39,114.23,114.3,14619500
1/2/02,115.11,115.75,113.81,115.53,18651900
1/3/02,115.65,116.95,115.54,116.84,15743000
1/4/02,117.17,117.98,116.55,117.62,20140700
1/7/02,117.7,117.99,116.56,116.79,13106500
1/8/02,116.79,117.06,115.97,116.52,12683700
1/9/02,116.68,117.78,115.34,115.57,16610300
1/10/02,115.69,116.35,115.3,116.08,12823400
1/11/02,116.21,116.28,114.7,114.94,13708400
1/14/02,114.65,114.84,113.96,114.22,12301100
1/15/02,114.55,115.39,113.9,115.15,20219900
1/16/02,114.3,114.4,112.69,112.82,17067000
1/17/02,113.76,114.24,113.4,113.67,17283400
1/18/02,113,113.85,112.67,113.15,17028000
1/22/02,113.75,113.93,112.02,112.37,11689300
1/23/02,112.63,113.55,112.02,113.23,12438900
1/24/02,113.64,114.25,113.32,113.58,12142800
1/25/02,113.12,114.18,113.04,113.55,12810700
1/28/02,113.9,114.19,112.92,113.86,10589200
1/29/02,113.85,114.13,110.05,110.28,27720800
1/30/02,110.39,113.39,108.4,111.87,34711800
1/31/02,112.15,113.3,111.62,113.18,19909200
2/1/02,113.09,113.3,112.17,112.65,15838500
2/4/02,112.23,112.23,109.44,109.85,24243400
2/5/02,109.4,110.49,108.53,109.17,33614000
2/6/02,109.65,109.74,108.06,108.7,29486000
2/7/02,108.72,109.86,108,108.02,23445400
2/8/02,108.63,110.75,108.3,110.09,19277800
2/11/02,110.05,111.64,109.82,111.44,18792400
2/12/02,110.96,111.71,110.03,111.09,13942500
2/13/02,111.48,112.54,111.35,112.27,16781100
